name,status,created,city,lat,lon,members,category_name
The Cleveland 20s & 30s Group,active,1190135836000,Cleveland,41.51,-81.68,8413,Socializing
Enjoy Outside - Cleveland,active,1364734329000,Independence,41.38,-81.66,6376,Outdoors & Adventure
Northeast Ohio Hiking Club,active,1266952168000,Cleveland,41.38,-81.79,6091,Outdoors & Adventure
nEo Adventurers,active,1178507477000,Cleveland,41.52,-81.56,6076,Outdoors & Adventure
Cleveland Beer Lovers Meetup Group,active,1185754963000,Cleveland,41.38,-81.79,5336,Socializing
Life Is Short So Let's Have Some Fun Group!,active,1431615105000,Cleveland,41.48,-81.69,5156,Socializing
The Happy Hour Group,active,1234280583000,Cleveland,41.5,-81.67,5107,Food & Drink
WhyNot Adventures,active,1337349032000,Akron,41.16,-81.64,4866,Outdoors & Adventure
Cleveland's Young and Social Newbies in 20s-30s!!,active,1383939089000,Cleveland,41.51,-81.68,4491,Socializing
The Cleveland Board Gamers,active,1288277071000,Cleveland,41.51,-81.68,3758,Games
Cleveland Dance Party!,active,1311813921000,Cleveland,41.39,-81.7,3453,Dancing
Cleveland Vegans Meetup Group,active,1138801533000,Cleveland,41.51,-81.68,3327,Food & Drink
Akron 20s & 30s,active,1309476578000,Akron,41.04,-81.52,3317,Socializing
Cleveland Volleyball Meetup Group,active,1277076718000,Cleveland,41.47,-81.74,3196,Sports & Recreation
Cleveland Independent Movie Goers,active,1150157551000,Cleveland,41.5,-81.55,3161,Movies & Film
North East Ohio (NEO) 45 yrs & Over Social Singles.,active,1220796247000,Kent,41.15,-81.33,3158,Socializing
Akron-Canton Wine Group,active,1405781194000,Hudson,41.25,-81.44,2979,Food & Drink
L.L.Bean Cleveland Outing and Adventure Club,active,1447860729000,Cleveland,41.5,-81.64,2893,Outdoors & Adventure
Cleveland Big Data and Hadoop User Group,active,1284494968000,Cleveland,41.51,-81.61,2841,Tech
The Cleveland Professional 20/30 Club,active,1460723762000,Cleveland,41.49,-81.67,2834,Career & Business
NEO Single Once Again!,active,1270052310000,Cleveland,41.39,-81.7,2807,Support
"Lake Erie 40s, 50s, 60s, etc.!",active,1340627774000,North Royalton,41.32,-81.74,2741,Singles
Live Music and Dancing Cleveland,active,1380046525000,Cleveland,41.5,-81.64,2638,Dancing
Summit County Ohio Hikers,active,1345480898000,Akron,41.08,-81.52,2628,Fitness
Akron Area Beer Lovers,active,1391900819000,Akron,41.04,-81.52,2490,Food & Drink
Cleveland Cross-Cultural Meetup Group,active,1214545407000,Cleveland,41.47,-81.74,2334,Language & Ethnic Identity
Cleveland Women's Empowerment,active,1414589715000,Cleveland,41.5,-81.55,2270,Career & Business
Ohio Holistic,active,1380039679000,Cleveland,41.5,-81.55,2267,New Age & Spirituality
LaunchHouse,active,1286937513000,Cleveland,41.56,-81.48,2173,Career & Business
"The Malted Meeple - Games, Beers & Milkshakes",active,1432123090000,Hudson,41.25,-81.44,2039,Games
"No Oil Vegan, Dr. Esselstyn's &  Rip's E2 Diet NE Ohio",active,1301275391000,Cleveland,41.5,-81.64,2023,Food & Drink
Fun Times on the West Side,active,1410735032000,Cleveland,41.44,-81.74,1948,Socializing
Film - Forum - Cleveland,active,1406576617000,Cleveland,41.47,-81.74,1880,Movies & Film
The Hopeless Wanderers - Backpacking Group,active,1376950764000,Cleveland,41.46,-81.78,1824,Outdoors & Adventure
The Cleveland Poker Meetup Group,active,1047666416000,Cleveland,41.5,-81.67,1812,Games
121 Fitness Walking Club,active,1331940787000,Cleveland,41.51,-81.61,1757,Fitness
The Cleveland Game Developers,active,1067395470000,Cleveland,41.49,-81.67,1729,Tech
The Writers Group,active,1425307119000,Akron,41.08,-81.52,1691,Writing
Ultimate Frisbee Pickup Games (Greater Cleveland Area),active,1331226590000,Cleveland,41.48,-81.69,1607,Sports & Recreation
Cleveland #learntocode Group,active,1446491463000,Cleveland,41.51,-81.64,1603,Tech
Cleveland Web Design and Development Meetup,active,1144774131000,Cleveland,41.56,-81.48,1575,Tech
Cleveland Drumcircle Community,active,1213967905000,Cleveland,41.47,-81.58,1564,Music
Cleveland Area Python Interest Group,active,1294089825000,Cleveland,41.51,-81.68,1434,Tech
The Cleveland Freethinkers,active,1173357906000,Cleveland,41.56,-81.48,1427,Religion & Beliefs
C.O.R.E. (Cleveland Ohio Real Estate),active,1219194116000,Cleveland,41.45,-81.86,1392,Career & Business
Cleveland East Side Pick-up Soccer,active,1427480692000,Cleveland,41.51,-81.61,1382,Sports & Recreation
Cleveland Agile Group (#CleAG),active,1276040707000,Cleveland,41.51,-81.68,1351,Tech
Cleveland Coffee Crawl,active,1406342221000,Cleveland,41.51,-81.64,1345,Food & Drink
